date,Alkalinity to pH 4.5 as CaCO3,Ammonia un-ionised as N,Nitrite as N,"Nitrogen, Total Oxidised as N","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",pH,date
2009-07-22,179.0,0.00143,0.0326,6.93,0.386,7.81,87.3,7.98,2009-07-22
2009-08-17,158.0,0.00126,0.0206,6.68,0.283,8.61,97.8,8.07,2009-08-17
2009-09-24,170.0,0.00591,0.024,8.28,0.382,9.45,101.3,8.01,2009-09-24
2009-11-09,149.0,0.00316,0.0487,7.32,0.341,10.8,96.4,7.93,2009-11-09
2009-11-19,148.0,0.0102,0.0332,5.95,0.297,10.5,95.6,7.98,2009-11-19
2009-12-04,148.0,0.00215,0.0384,5.42,0.177,12.7,106.6,8.03,2009-12-04
2010-02-12,214.0,0.00129,0.0731,7.03,0.139,13.0,101.2,8.39,2010-02-12
2010-02-23,162.0,0.00199,0.082,5.13,0.127,12.0,95.1,8.09,2010-02-23
2010-03-23,203.0,0.00158,0.0634,6.52,0.144,10.7,95.1,8.17,2010-03-23
2010-05-10,209.0,0.00318,0.0403,7.04,0.174,12.8,120.6,8.31,2010-05-10
2010-05-28,146.0,0.00993,0.0367,5.79,0.049,13.5,137.9,8.59,2010-05-28
2010-07-01,177.0,0.00099,0.0432,8.62,0.229,9.31,99.1,8.31,2010-07-01
2010-07-30,176.0,0.00242,0.0426,7.77,0.283,6.94,75.3,8.1,2010-07-30
2010-08-23,151.0,0.00514,0.0539,6.98,0.261,7.54,81.8,7.83,2010-08-23
2010-10-01,171.0,0.0031,0.0314,7.87,0.264,8.66,85.3,7.89,2010-10-01
2010-11-11,161.0,0.00174,0.0285,6.11,0.239,10.7,92.2,8.3,2010-11-11
2010-11-25,180.0,0.00421,0.039,7.63,0.248,10.1,83.1,8.25,2010-11-25
2010-12-08,146.0,0.00246,0.0522,7.05,0.238,12.4,92.9,8.25,2010-12-08
2011-02-08,213.0,0.00171,0.0435,7.88,0.171,13.6,115.6,8.32,2011-02-08
2011-03-01,200.0,0.00111,0.033,7.04,0.153,12.2,101.9,8.21,2011-03-01
2011-03-24,200.0,0.00077,0.0256,8.0,0.162,9.63,88.4,8.36,2011-03-24
2011-04-15,195.0,0.00121,0.0249,7.2,0.107,9.52,91.2,8.7,2011-04-15
2011-05-19,150.0,0.0009,0.0436,6.73,0.13,13.6,140.1,8.82,2011-05-19
2011-06-15,144.0,0.00297,0.0598,7.34,0.275,8.13,85.9,7.8,2011-06-15
2011-07-18,153.0,0.00301,0.0637,7.38,0.294,7.48,79.1,7.86,2011-07-18
2011-08-24,163.0,0.0038,0.0435,7.83,0.325,7.57,81.2,7.85,2011-08-24
2011-09-23,158.0,0.00256,0.0377,8.83,0.309,10.7,111.6,8.01,2011-09-23
2011-10-19,174.0,0.00285,0.0403,9.96,0.382,9.34,88.5,7.91,2011-10-19
2011-11-11,113.0,0.00145,0.068,6.91,0.322,8.6,80.1,7.71,2011-11-11
2011-12-29,119.0,0.00145,0.0775,9.73,0.311,10.6,88.9,7.76,2011-12-29
2012-01-10,154.0,0.00142,0.0423,8.44,0.268,11.2,95.8,7.95,2012-01-10
2012-02-08,176.0,0.00135,0.0405,9.1,0.255,13.3,98.4,8.05,2012-02-08
2012-03-09,171.0,0.00332,0.0368,7.65,0.234,10.1,86.1,8.07,2012-03-09
2012-04-11,137.0,0.0007,0.0301,8.04,0.174,13.0,125.1,8.68,2012-04-11
2012-05-02,141.0,0.00382,0.0395,4.62,0.175,8.56,78.5,8.01,2012-05-02
2012-06-13,144.0,0.00311,0.0446,4.65,0.195,9.47,91.9,7.91,2012-06-13
2012-07-04,199.0,0.00361,0.0428,6.39,0.229,8.58,91.3,8.06,2012-07-04
2012-08-31,209.0,0.00211,0.0311,6.62,0.21,8.94,93.7,8.29,2012-08-31
2012-09-13,198.0,0.00443,0.0538,7.2,0.246,9.76,101.1,8.37,2012-09-13
2012-10-31,220.0,0.00085,0.0286,6.71,0.167,10.4,93.0,8.16,2012-10-31
2012-11-11,207.0,0.00109,0.0295,5.89,0.162,12.2,105.3,8.02,2012-11-11
2012-11-12,203.0,0.00084,0.0277,5.89,0.152,11.7,99.8,8.14,2012-11-12
2012-12-12,215.0,0.00109,0.0436,6.38,0.135,12.6,96.3,7.94,2012-12-12
2013-02-14,182.0,0.0022,0.0439,5.02,0.134,12.4,98.6,8.01,2013-02-14
2013-05-14,183.0,0.00069,0.0377,5.32,0.044,14.3,137.0,8.64,2013-05-14
2013-08-22,182.0,0.00131,0.022,8.36,0.306,7.26,79.9,7.79,2013-08-22
2013-11-13,180.0,0.00122,0.045,6.98,0.193,11.6,101.6,7.99,2013-11-13
2014-03-24,230.0,0.00054,0.0292,6.75,0.08,11.1,97.8,8.3,2014-03-24
2014-09-01,168.0,0.00179,0.0363,6.11,0.253,8.63,91.6,7.9,2014-09-01
2014-10-01,180.0,0.00103,0.0246,8.12,0.286,8.67,91.9,7.84,2014-10-01
2014-12-15,182.0,0.00171,0.0425,6.62,0.166,11.1,90.3,7.98,2014-12-15
2015-01-13,181.0,0.00355,0.0583,6.43,0.158,11.7,99.8,8.0,2015-01-13
2015-04-30,158.0,0.00074,0.0326,6.59,0.021,11.0,107.0,8.82,2015-04-30
2015-07-28,162.0,0.00425,0.0416,8.22,0.284,8.64,89.9,8.0,2015-07-28
2015-10-01,144.0,0.00138,0.0278,8.26,0.211,8.57,85.8,7.85,2015-10-01
2016-02-29,209.0,0.00103,0.031,7.9,0.123,11.7,95.4,8.22,2016-02-29
2016-05-25,207.0,0.00095,0.0264,6.72,0.146,9.18,91.3,8.2,2016-05-25
2016-09-02,177.0,0.00204,0.0325,9.43,0.255,6.85,76.3,7.93,2016-09-02
2016-11-17,157.0,0.00145,0.045,9.19,0.224,9.81,87.5,7.82,2016-11-17
2017-03-23,191.0,0.00134,0.0289,8.02,0.143,9.63,86.5,8.01,2017-03-23
2017-09-26,170.0,0.00118,0.0253,9.89,0.24,8.18,84.3,7.88,2017-09-26
2017-11-28,159.0,0.00227,0.0936,11.8,0.249,9.79,84.9,7.78,2017-11-28
2017-12-15,153.0,0.00244,0.0472,3.28,0.211,11.4,89.4,7.91,2017-12-15
2018-01-31,188.0,0.0012,0.0378,8.06,0.143,11.0,92.4,8.07,2018-01-31
2018-11-07,159.0,0.00078,0.0343,12.7,0.283,11.1,99.7,7.71,2018-11-07
2018-11-30,136.0,0.00217,0.0668,11.0,0.258,11.1,98.2,7.97,2018-11-30
2019-02-21,182.0,0.00145,0.0268,9.42,0.146,11.4,97.4,8.11,2019-02-21
2019-06-30,158.0,0.0026,0.0277,9.34,0.249,6.22,68.8,7.83,2019-06-30
2019-07-07,170.0,0.00252,0.024,8.8,0.25,6.61,72.6,7.92,2019-07-07
2019-07-23,162.0,0.00216,0.0281,10.8,0.391,7.61,89.1,8.16,2019-07-23
2019-08-22,140.0,0.00193,0.027,10.0,0.35,7.25,79.2,7.96,2019-08-22
2019-09-06,170.0,0.00255,0.025,9.5,0.28,8.02,85.0,8.02,2019-09-06
2019-10-24,150.0,0.0234,0.053,6.0,0.27,9.51,89.9,7.98,2019-10-24
2019-10-30,196.0,0.00061,0.0167,7.1,0.155,10.9,98.1,8.19,2019-10-30
2019-11-15,159.0,0.00118,0.0276,5.8,0.151,13.3,110.0,8.0,2019-11-15
2019-12-16,170.0,0.00145,0.032,5.9,0.15,11.9,98.4,8.07,2019-12-16
2020-01-29,190.0,0.00159,0.044,7.1,0.13,10.9,89.1,8.21,2020-01-29
2020-02-18,140.0,0.00186,0.038,3.8,0.1,11.3,94.2,7.98,2020-02-18
2020-03-17,210.0,0.0012,0.038,6.2,0.099,9.31,81.9,8.19,2020-03-17
2020-11-17,150.0,0.00177,0.031,5.6,0.21,10.4,95.3,8.02,2020-11-17
2020-12-17,180.0,0.00025,0.029,6.6,0.16,11.5,98.4,7.57,2020-12-17
2021-01-14,100.0,0.00147,0.029,4.1,0.096,11.9,98.8,8.13,2021-01-14
2021-02-12,200.0,0.00101,0.031,6.2,0.1,12.6,91.5,8.08,2021-02-12
2021-03-25,220.0,0.00056,0.025,7.8,0.12,11.0,97.5,8.27,2021-03-25
2021-04-22,190.0,0.00063,0.025,8.4,0.045,12.6,114.9,8.62,2021-04-22
2021-05-27,180.0,0.00135,0.038,7.1,0.15,9.98,95.4,7.94,2021-05-27
2021-06-18,200.0,0.00372,0.038,7.9,0.23,6.08,67.7,7.86,2021-06-18
2021-07-27,180.0,0.00372,0.033,7.7,0.23,7.09,80.2,8.04,2021-07-27
2021-08-13,170.0,0.00161,0.022,6.4,0.24,8.32,88.7,7.91,2021-08-13
2021-10-22,140.0,0.00134,0.034,5.7,0.24,9.93,93.2,7.81,2021-10-22
2021-11-12,180.0,0.00074,0.029,8.6,0.23,9.95,91.3,7.88,2021-11-12
2021-12-13,180.0,0.00092,0.033,7.3,0.2,10.3,88.5,8.03,2021-12-13
2021-12-22,200.0,0.00058,0.031,9.2,0.2,11.7,92.6,8.19,2021-12-22
2022-01-05,200.0,0.00047,0.026,6.9,0.18,11.7,97.8,8.24,2022-01-05
2022-02-15,170.0,0.0011,0.037,8.2,0.2,11.9,99.4,8.11,2022-02-15
2022-03-10,200.0,0.00074,0.023,7.2,0.15,11.6,102.2,8.14,2022-03-10
2022-04-27,150.0,0.00096,0.027,7.9,0.015,10.4,97.6,8.52,2022-04-27
2022-05-12,120.0,0.0009,0.044,8.1,0.01,17.6,182.3,9.16,2022-05-12
2022-06-22,180.0,0.00223,0.034,9.5,0.27,7.26,81.2,7.81,2022-06-22
2022-07-27,180.0,0.00122,0.048,11.0,0.25,6.33,72.1,7.76,2022-07-27
2022-09-12,120.0,0.00176,0.044,9.7,0.31,8.03,89.6,7.66,2022-09-12
2022-09-16,130.0,0.00368,0.053,14.0,0.25,7.74,81.6,7.91,2022-09-16
2022-10-27,140.0,0.00266,0.047,8.4,0.25,8.95,89.4,7.85,2022-10-27
2022-11-25,150.0,0.00126,0.028,6.4,0.18,11.5,98.8,8.29,2022-11-25
2022-12-15,180.0,0.00112,0.043,10.0,0.19,12.8,96.4,8.17,2022-12-15
2023-01-31,210.0,0.0009,0.042,7.2,0.12,12.2,97.5,8.21,2023-01-31
2023-02-27,210.0,0.00132,0.056,9.1,0.14,12.5,104.2,8.27,2023-02-27
2023-03-14,180.0,0.00104,0.037,7.1,0.13,12.2,104.4,8.06,2023-03-14
2000-02-14,226.0,0.001,0.076,8.65,2.21,10.3,86.0,7.6,2000-02-14
2000-02-22,247.0,0.002,0.103,11.3,2.95,10.2,88.1,7.8,2000-02-22
2000-03-06,213.0,0.002,0.098,7.57,1.89,11.2,99.0,7.6,2000-03-06
2000-04-19,136.0,0.006,0.083,4.75,1.01,11.11,103.5,7.9,2000-04-19
2000-05-08,111.0,0.004,0.119,5.16,1.66,8.6,86.0,7.7,2000-05-08
2000-07-12,204.0,0.003,0.086,11.1,3.14,7.58,76.6,7.9,2000-07-12
2000-08-02,249.0,0.003,0.097,12.6,4.34,10.18,109.1,8.0,2000-08-02
2000-09-26,178.0,0.0023,0.088,7.12,2.51,7.87,82.2,7.8,2000-09-26
2000-11-10,166.0,0.002,0.084,5.32,0.753,10.6,92.0,7.6,2000-11-10
2000-12-20,208.0,0.0025,0.105,5.94,0.775,7.37,63.0,7.6,2000-12-20
2000-12-28,235.0,0.0045,0.2,7.86,1.31,8.61,69.5,7.7,2000-12-28
2001-01-21,193.0,0.0044,0.148,10.2,2.27,9.42,75.0,7.8,2001-01-21
2001-03-13,155.0,0.0026,0.105,5.0,0.489,9.81,83.0,7.75,2001-03-13
2001-04-21,250.0,0.002,0.049,9.09,1.0,9.65,89.0,7.75,2001-04-21
2001-05-24,248.0,0.0025,0.255,9.82,1.94,8.48,83.6,7.36,2001-05-24
2001-06-26,258.0,0.0038,0.117,12.1,2.64,10.5,117.0,7.8,2001-06-26
2001-07-08,170.0,0.005,0.183,10.4,1.93,8.95,96.0,7.7,2001-07-08
2001-09-28,208.0,0.0008,0.107,15.7,2.72,7.69,78.0,7.2,2001-09-28
2001-11-05,215.0,0.0023,0.11,13.7,1.96,8.5,76.2,7.7,2001-11-05
2001-11-15,223.0,0.0012,0.12,14.5,2.07,9.38,79.0,7.6,2001-11-15
2001-11-26,194.0,0.0012,0.0902,10.7,1.65,8.71,76.1,7.7,2001-11-26
2001-12-09,227.0,0.0021,0.0966,10.5,2.05,8.91,75.2,7.6,2001-12-09
2001-12-13,237.0,0.0023,0.149,12.4,2.32,9.02,76.0,7.6,2001-12-13
2002-01-28,123.0,0.0024,0.105,5.37,0.565,10.8,96.2,7.7,2002-01-28
2002-03-06,207.0,0.0038,0.202,10.7,1.18,10.4,92.6,7.7,2002-03-06
2002-03-26,207.0,0.0021,0.0553,9.84,0.882,12.1,113.6,7.9,2002-03-26
2002-04-19,213.0,0.002,0.0796,11.9,0.71,12.2,119.0,7.9,2002-04-19
2002-06-19,207.0,0.0044,0.184,12.6,0.482,7.95,82.6,7.44,2002-06-19
2002-07-22,235.0,0.0018,0.0773,15.3,2.015,8.94,93.4,7.8,2002-07-22
2002-08-08,76.6,0.0048,0.09,7.59,0.798,7.92,85.5,7.9,2002-08-08
2002-09-10,168.0,0.016,0.127,11.0,1.08,8.28,88.3,7.9,2002-09-10
2002-10-24,195.0,0.00168,0.158,14.6,1.64,8.56,76.3,7.69,2002-10-24
2002-11-06,191.0,0.00193,0.212,12.6,1.39,8.45,81.0,7.58,2002-11-06
2002-11-13,113.0,0.00042,0.0662,5.75,0.454,9.29,83.6,7.29,2002-11-13
2002-12-04,203.0,0.003,0.181,8.5,0.454,10.7,94.8,7.38,2002-12-04
2003-01-08,200.0,0.00256,0.0741,6.73,0.351,12.1,88.9,7.76,2003-01-08
2003-03-19,245.0,0.0019,0.141,12.8,0.696,12.1,112.4,7.6,2003-03-19
2003-06-18,232.0,0.00278,0.216,16.9,1.32,9.06,96.0,7.7,2003-06-18
2003-07-02,196.0,0.00209,0.123,15.1,0.731,8.67,90.0,7.8,2003-07-02
2003-07-08,238.0,0.00654,0.165,14.6,1.32,8.08,87.2,7.64,2003-07-08
2003-07-10,211.0,0.00199,0.108,16.8,0.97,8.08,92.1,7.82,2003-07-10
2003-07-16,212.0,0.002,0.0756,16.4,1.32,6.28,68.0,7.7,2003-07-16
2003-07-28,163.0,0.00073,0.0556,14.9,1.19,8.19,85.0,7.7,2003-07-28
2003-08-12,195.0,0.00139,0.0364,15.9,1.17,8.1,93.0,7.8,2003-08-12
2003-09-29,232.0,0.00065,0.0909,18.6,1.8,7.85,77.1,7.6,2003-09-29
2003-10-03,177.0,0.00089,0.0669,12.5,1.47,6.17,62.5,7.66,2003-10-03
2007-02-07,236.0,0.00172,0.172,12.9,0.54,12.3,98.9,7.73,2007-02-07
2007-04-20,202.0,0.00233,0.0663,11.0,0.508,10.5,103.3,8.0,2007-04-20
2007-05-18,191.0,0.00316,0.119,10.8,0.681,8.31,86.2,7.66,2007-05-18
2007-07-31,198.0,0.00129,0.119,7.91,0.534,6.88,70.9,7.6,2007-07-31
2007-08-28,226.0,0.00175,0.0911,14.0,0.601,7.88,82.7,7.68,2007-08-28
2007-10-05,205.0,0.00147,0.0803,15.7,0.834,9.2,88.1,7.83,2007-10-05
2007-11-02,211.0,0.00111,0.099,15.7,0.984,8.91,84.3,7.75,2007-11-02
2008-01-11,138.0,0.00129,0.0992,6.59,0.262,11.0,93.1,7.76,2008-01-11
2008-02-12,213.0,0.0015,0.0949,12.5,0.437,10.2,85.1,7.68,2008-02-12
2008-03-07,216.0,0.00162,0.0945,14.4,0.433,11.2,99.4,7.75,2008-03-07
2008-04-04,218.0,0.00134,0.087,12.0,0.592,9.68,86.8,7.63,2008-04-04
2008-05-02,164.0,0.00327,0.0826,6.24,0.38,10.0,96.8,7.77,2008-05-02
2008-06-27,216.0,0.00193,0.116,14.5,0.578,8.94,92.1,7.73,2008-06-27
2008-08-07,198.0,0.00138,0.102,14.3,0.49,7.54,80.5,7.62,2008-08-07
2008-08-15,195.0,0.00137,0.0914,11.7,0.486,8.6,88.7,7.68,2008-08-15
2008-09-19,219.0,0.00297,0.162,15.0,1.04,8.83,88.6,7.69,2008-09-19
2008-10-17,216.0,0.00037,0.004,15.4,0.924,9.0,84.4,7.75,2008-10-17
2008-11-14,177.0,0.00162,0.146,10.7,0.559,8.47,155.0,15.17,2008-11-14
2008-12-12,205.0,0.00103,0.109,14.5,0.397,9.95,159.8,15.280000000000001,2008-12-12
2009-02-17,199.0,0.00189,0.223,9.3,0.361,8.46,72.5,7.44,2009-02-17
2009-02-26,224.0,0.00126,0.0844,12.1,0.411,10.9,96.0,7.6,2009-02-26
2009-03-24,218.0,0.00223,0.0819,14.2,0.484,10.7,89.9,9.29,2009-03-24
2009-04-24,233.0,0.00109,0.0779,15.6,0.569,10.5,101.0,7.73,2009-04-24
2009-05-21,190.0,0.0026,0.256,15.2,0.691,8.51,82.7,7.63,2009-05-21
2009-06-29,208.0,0.00121,0.171,21.6,0.909,10.1,117.5,7.56,2009-06-29
2009-07-23,197.0,0.00074,0.0771,14.5,0.703,7.31,76.4,7.69,2009-07-23
2009-08-17,207.0,0.00046,0.0409,15.3,0.742,6.91,74.5,7.64,2009-08-17
2009-09-22,198.0,0.00057,0.0498,18.2,0.921,7.77,79.1,7.73,2009-09-22
2009-10-19,194.0,0.00052,0.0676,19.8,1.01,8.36,75.8,7.62,2009-10-19
2009-11-20,176.0,0.00107,0.104,15.8,0.883,8.08,75.7,7.58,2009-11-20
2009-12-10,185.0,0.00284,0.138,10.2,0.43,9.03,80.4,7.55,2009-12-10
2010-02-16,178.0,0.00247,0.265,12.2,0.401,9.61,78.8,7.55,2010-02-16
2010-03-01,155.0,0.00157,0.0596,4.29,0.195,10.9,90.5,7.71,2010-03-01
2010-03-26,171.0,0.00209,0.119,8.7,0.187,9.31,83.5,7.71,2010-03-26
2013-02-08,220.0,0.00087,0.0791,9.74,0.359,8.47,70.1,7.57,2013-02-08
2013-05-08,224.0,0.00187,0.129,11.7,0.801,7.79,76.2,7.58,2013-05-08
2013-08-08,195.0,0.00076,0.0853,11.1,1.43,5.18,53.7,7.56,2013-08-08
2013-11-04,121.0,0.00448,0.109,9.04,0.398,7.42,66.7,7.77,2013-11-04
2014-03-03,175.0,0.00087,0.0512,3.91,0.22,8.4,71.6,7.62,2014-03-03
2014-06-04,218.0,0.00196,0.23,10.4,0.498,5.51,54.2,7.45,2014-06-04
2014-09-12,203.0,0.00059,0.0895,15.9,0.782,5.75,57.7,7.6,2014-09-12
2014-11-26,131.0,0.00388,0.0936,6.56,0.21,8.81,77.3,7.77,2014-11-26
2015-01-13,126.0,0.00388,0.0716,6.03,0.382,8.5,73.9,7.7,2015-01-13
2015-04-23,203.0,0.0009,0.0892,14.6,0.488,7.81,73.2,7.59,2015-04-23
2015-07-13,203.0,0.00549,0.119,15.1,0.844,3.98,41.8,7.84,2015-07-13
2015-10-13,185.0,0.00073,0.0618,18.9,1.26,6.85,64.1,7.47,2015-10-13
2016-02-19,188.0,0.00214,0.0867,8.08,0.355,10.6,85.7,7.77,2016-02-19
2016-05-25,219.0,0.0012,0.127,13.4,0.385,6.58,62.8,7.61,2016-05-25
2016-08-08,206.0,0.00114,0.0476,13.7,0.895,6.6,69.4,7.77,2016-08-08
2016-11-10,128.0,0.00335,0.11,10.4,0.556,7.64,65.9,7.7,2016-11-10
2017-03-10,191.0,0.00098,0.0622,12.3,0.225,8.64,77.5,7.69,2017-03-10
2017-06-08,187.0,0.00094,0.0609,12.7,0.557,6.43,64.8,7.71,2017-06-08
2019-04-17,213.0,0.00052,0.0437,15.0,0.175,8.74,85.1,7.42,2019-04-17
2019-05-15,189.0,0.00075,0.0442,16.5,0.288,7.01,68.3,7.66,2019-05-15
2019-06-03,210.0,0.0007,0.0485,12.1,0.341,8.04,81.7,7.63,2019-06-03
2019-07-10,200.0,0.00162,0.088,36.0,0.69,14.05,147.8,15.19,2019-07-10
2019-08-09,200.0,0.00081,0.034,17.0,0.56,6.6,70.7,7.7,2019-08-09
2019-09-09,190.0,0.0012,0.038,17.0,1.0,8.13,80.7,8.01,2019-09-09
2019-10-07,140.0,0.00098,0.078,11.0,0.59,7.5,74.3,7.72,2019-10-07
2019-11-08,148.0,0.00087,0.118,12.3,0.32,9.23,79.3,7.72,2019-11-08
2019-12-12,180.0,0.00127,0.14,12.0,0.29,9.66,80.4,7.78,2019-12-12
2020-01-07,200.0,0.00129,0.14,13.0,0.31,8.78,75.6,7.71,2020-01-07
2020-02-04,200.0,0.00117,0.097,8.6,0.24,8.85,74.9,7.72,2020-02-04
2020-03-05,170.0,0.0028,0.14,6.7,0.18,9.35,78.9,7.67,2020-03-05
2023-05-11,190.0,0.00104,0.064,5.6,0.25,8.29,81.0,7.62,2023-05-11
2023-06-07,230.0,0.00054,0.1,17.0,0.42,6.9,66.7,7.61,2023-06-07
2023-07-11,200.0,0.0007,0.069,15.0,0.41,6.3,67.3,7.57,2023-07-11
2003-01-29,237.0,0.00114,0.0313,13.2,0.07,10.9,85.9,7.7,2003-01-29
2003-02-17,231.0,0.00487,0.0684,13.1,0.171,10.6,86.6,7.91,2003-02-17
2003-03-20,231.0,0.00481,0.0826,13.9,0.244,10.8,91.3,7.88,2003-03-20
2003-03-25,233.0,0.00633,0.0953,13.8,0.229,11.0,103.3,8.0,2003-03-25
2003-04-16,206.0,0.00753,0.237,16.0,0.366,11.2,108.3,7.82,2003-04-16
2003-04-22,201.0,0.00929,0.253,16.7,0.399,10.6,100.2,7.9,2003-04-22
2003-05-19,184.0,0.00341,0.151,11.6,0.402,9.21,85.8,7.78,2003-05-19
2003-06-25,209.0,0.00512,0.357,15.9,0.566,6.91,69.4,7.82,2003-06-25
2003-07-22,223.0,0.00365,0.386,12.7,0.467,7.01,72.2,7.7,2003-07-22
2003-08-20,216.0,0.006,0.378,14.1,1.06,7.83,77.5,7.79,2003-08-20
2003-09-23,218.0,0.00341,0.208,13.6,0.529,8.12,75.1,7.83,2003-09-23
2003-10-20,174.0,0.00554,0.41,21.9,0.709,9.14,82.3,7.66,2003-10-20
2013-01-22,254.0,0.00338,0.0474,9.76,0.121,10.1,82.0,7.91,2013-01-22
2013-02-07,257.0,0.00238,0.0339,9.81,0.117,10.0,82.0,7.91,2013-02-07
2013-03-12,255.0,0.0105,0.0798,10.1,0.223,10.5,81.0,8.12,2013-03-12
2013-03-27,252.0,0.00192,0.0295,9.31,0.086,10.6,86.0,7.89,2013-03-27
2013-05-17,238.0,0.00135,0.12,10.9,0.291,8.4,73.0,7.67,2013-05-17
2013-05-22,220.0,0.00363,0.173,12.5,0.327,7.45,68.8,7.82,2013-05-22
2013-07-11,236.0,0.00254,0.374,12.5,0.482,5.45,52.0,7.7,2013-07-11
2013-08-07,226.0,0.00229,0.395,12.7,0.363,4.49,44.0,7.57,2013-08-07
2013-09-11,178.0,0.00883,0.666,17.5,0.429,4.43,43.0,7.56,2013-09-11
2013-10-11,190.0,0.0101,0.669,20.9,0.533,5.16,47.2,7.53,2013-10-11
2013-11-13,245.0,0.00064,0.0398,9.1,0.081,9.53,82.0,7.69,2013-11-13
2013-11-27,246.0,0.00111,0.0508,10.2,0.059,9.17,80.0,7.75,2013-11-27
2014-01-03,226.0,0.00124,0.0277,9.01,0.057,9.81,83.0,7.88,2014-01-03
2014-02-06,240.0,0.0008,0.0184,8.77,0.054,10.0,84.0,7.81,2014-02-06
2014-03-21,249.0,0.00118,0.0415,9.36,0.045,9.81,84.0,7.8,2014-03-21
2014-04-09,229.0,0.00196,0.0955,10.5,0.113,10.2,90.0,7.78,2014-04-09
2014-05-08,234.0,0.00104,0.0466,9.22,0.06,9.04,81.0,7.85,2014-05-08
2014-06-04,240.0,0.00101,0.124,9.69,0.094,7.9,73.0,7.79,2014-06-04
2014-07-03,235.0,0.00109,0.0985,10.8,0.196,7.01,68.0,7.83,2014-07-03
2014-08-01,207.0,0.00162,0.28,16.9,0.278,5.21,53.4,7.69,2014-08-01
2014-09-25,211.0,0.0016,0.385,16.3,0.291,4.5,41.0,7.63,2014-09-25
2014-10-22,215.0,0.00117,0.382,13.4,0.236,4.2,37.0,7.58,2014-10-22
2014-11-06,207.0,0.00128,0.244,13.0,0.381,5.0,41.0,7.66,2014-11-06
2014-12-03,241.0,0.00104,0.0425,9.42,0.076,9.51,80.0,7.78,2014-12-03
2015-01-13,224.0,0.00347,0.0623,7.92,0.107,8.49,73.6,7.86,2015-01-13
2015-02-19,239.0,0.00407,0.0889,9.37,0.11,10.0,85.3,7.82,2015-02-19
2015-03-09,242.0,0.00459,0.075,9.13,0.1,9.32,79.2,7.85,2015-03-09
2015-04-30,213.0,0.00689,0.233,13.6,0.186,9.14,85.2,8.02,2015-04-30
2015-05-20,211.0,0.0027,0.234,13.2,0.227,8.3,77.7,7.82,2015-05-20
2015-06-05,224.0,0.00063,0.222,13.6,0.231,6.99,67.2,7.69,2015-06-05
2015-07-06,199.0,0.00493,0.385,13.9,0.339,5.98,59.8,7.73,2015-07-06
2015-08-17,189.0,0.00279,0.387,18.0,0.344,4.81,48.9,7.66,2015-08-17
2015-09-17,134.0,0.00827,0.348,9.52,0.255,4.78,45.4,7.67,2015-09-17
2015-10-14,209.0,0.00495,0.275,14.0,0.184,8.06,73.6,7.98,2015-10-14
2015-11-09,229.0,0.00039,0.0114,8.81,0.214,7.48,70.4,7.77,2015-11-09
2015-12-07,235.0,0.00051,0.006,8.06,0.072,8.89,82.1,7.91,2015-12-07
2016-01-15,249.0,0.00093,0.0176,8.9,0.05,11.0,89.6,8.01,2016-01-15
2016-03-07,235.0,0.00148,0.0428,10.6,0.063,10.7,89.2,7.95,2016-03-07
2016-04-20,230.0,0.00344,0.0403,9.36,0.046,13.4,123.4,8.17,2016-04-20
2016-05-20,243.0,0.0008,0.0441,8.95,0.052,11.3,104.4,7.98,2016-05-20
2016-07-22,212.0,0.00084,0.0755,16.7,0.248,8.44,86.5,7.64,2016-07-22
2016-08-11,205.0,0.00099,0.105,16.6,0.187,8.42,84.3,7.73,2016-08-11
2016-11-03,196.0,0.00147,0.218,20.1,0.209,7.37,63.1,7.44,2016-11-03
2016-11-17,178.0,0.00092,0.0805,18.6,0.268,8.03,72.8,7.74,2016-11-17
2016-12-08,234.0,0.0012,0.0491,10.0,0.081,9.34,85.3,7.66,2016-12-08
2017-02-24,232.0,0.00093,0.0185,11.3,0.067,11.3,95.7,7.83,2017-02-24
2017-03-20,235.0,0.00038,0.0126,9.84,0.062,10.8,97.3,7.81,2017-03-20
2017-05-11,215.0,0.00212,0.0993,15.6,0.206,12.8,124.6,7.94,2017-05-11
2017-06-19,215.0,0.00077,0.101,15.7,0.267,8.84,94.0,7.54,2017-06-19
2017-07-10,199.0,0.00059,0.0759,17.7,0.369,8.94,92.0,7.56,2017-07-10
2019-04-29,228.0,0.00035,0.0396,11.5,0.04,9.88,87.1,7.81,2019-04-29
2019-05-20,178.0,0.00064,0.0289,19.0,0.063,9.66,93.3,7.95,2019-05-20
2019-06-14,188.0,0.014,0.126,8.26,0.266,8.97,88.0,7.59,2019-06-14
2019-07-09,180.0,0.00056,0.02,18.0,0.077,10.2,102.8,7.83,2019-07-09
2019-08-09,170.0,0.00166,0.1,13.0,0.095,7.72,81.4,7.59,2019-08-09
2019-09-25,160.0,0.00032,0.039,11.0,0.13,7.35,74.5,7.57,2019-09-25
2019-10-14,240.0,0.00578,0.041,8.7,0.085,8.2,75.9,7.85,2019-10-14
2019-11-18,255.0,0.00038,0.0134,9.64,0.057,10.4,88.4,7.9,2019-11-18
2019-12-09,250.0,0.00091,0.022,9.8,0.019,11.9,102.0,7.87,2019-12-09
